host_protein	abbreviated_data_source	is_experimental	data_source	acquisition_method	prioritized_for_pathway_analysis	do_ppi_expansion	source_specific_score	source_specific_score_type	activation	activation_type	metadata	uniprot	tdl
PCNA	hpi_phipster||ppi_sg||ppi_string	False||True||True	PHIPSTER predictions by by Tudor I. Oprea, MD PhD (TIO)||SmartGraph||STRING	Predictions by PHIPSTER webapp, shared by TIO||SmartGraph analysis max. dist=3, min. conf=0||STRING API	False||False||False	True||False||False	na||0.54||0.172	na||confidence||STRING DB score	na||na||na	na||na||na	source:hpi||source:ppi||source:ppi	P12004	Tchem
PCNT	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.2	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	O95613	Tbio
PCPB2	hostprot_crispr	True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101	Extracted by TIO	False	True	na	na	na	na	notes:viral translation;role:sensitization_anti-viral	na	unk
PCSK6	hpi_krogan	True	SARS-CoV-2 - Human Interactome, Krogan et al.	Preprint/Nature, experimental data	False	True	na	na	na	na	source:hpi	P29122	Tchem
PCYOX1	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.204	na||STRING DB score	up||na	quantity change||na	na||source:ppi	Q9UHG3	Tbio
PDE4DIP	hpi_krogan	True	SARS-CoV-2 - Human Interactome, Krogan et al.	Preprint/Nature, experimental data	False	True	na	na	na	na	source:hpi	Q5VU43	Tbio
PDIA4	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.154	na||STRING DB score	down||na	quantity change||na	na||source:ppi	P13667	Tbio
PDZD11	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.185	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q5EBL8	Tbio
PELO	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.959	na||STRING DB score	na||na	na||na	na||source:ppi	Q9BRX2	Tbio
PGP	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.256	na||STRING DB score	na||na	na||na	na||source:ppi	A6NDG6	Tbio
PHF6	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.208	na||STRING DB score	na||na	na||na	notes:;role:resistance_pro_viral||source:ppi	Q8IWS0	Tbio
PHIP	hostprot_crispr	True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101	Extracted by TIO	False	True	na	na	na	na	notes:;role:resistance_pro_viral	Q8WWQ0	Tbio
PHOSPHO1	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.473	na||STRING DB score	na||na	na||na	na||source:ppi	Q8TCT1	Tchem
PIAS1	hostprot_crispr||ppi_sg||ppi_string	True||True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||SmartGraph||STRING	Extracted by TIO||SmartGraph analysis max. dist=3, min. conf=0||STRING API	False||False||False	True||False||False	na||0.13||0.197	na||confidence||STRING DB score	na||na||na	na||na||na	notes:;role:sensitization_anti-viral||source:ppi||source:ppi	O75925	Tbio
PIAS2	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.28600000000000003	na||STRING DB score	na||na	na||na	notes:;role:sensitization_anti-viral||source:ppi	O75928	Tbio
PIGO	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.358	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q8TEQ8	Tbio
PIGS	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.514	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q96S52	Tdark
PILRA	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.18600000000000005	na||STRING DB score	na||na	na||na	na||source:ppi	Q9UKJ1	Tbio
PIM1	ppi_sg	True	SmartGraph	SmartGraph analysis max. dist=3, min. conf=0	False	False	0.16	confidence	na	na	source:ppi	P11309	Tchem
PITRM1	hpi_krogan||hostprot_taiml	True||False	SARS-CoV-2 - Human Interactome, Krogan et al.||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Preprint/Nature, experimental data||Shared by TIO	False||False	True||True	na||na	na||na	na||na	na||na	source:hpi||na	Q5JRX3	Tchem
PKM	ppi_sg	True	SmartGraph	SmartGraph analysis max. dist=3, min. conf=0	False	False	0.23	confidence	na	na	source:ppi	P14618	Tchem
PKP2	hpi_krogan||hostprot_taiml||ppi_string	True||False||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Preprint/Nature, experimental data||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.221	na||na||STRING DB score	na||na||na	na||na||na	source:hpi||na||source:ppi	Q99959	Tbio
PLAT	hpi_krogan	True	SARS-CoV-2 - Human Interactome, Krogan et al.	Preprint/Nature, experimental data	False	True	na	na	na	na	source:hpi	P00750	Tclin
PLD3	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.4970000000000001	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q8IV08	Tbio
PLEKHA5	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.162	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9HAU0	Tbio
PLEKHF2	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.513	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9H8W4	Tbio
PLG	dti_jm_cam||ppi_string	False||True	Prediction by Jordi Mestres, PhD (JM)||STRING	File shared by JM||STRING API	False||False	True||False	na||0.307	na||STRING DB score	na||na	na||na	source:dti||source:ppi	P00747	Tclin
PLOD2	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.16899999999999998	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	O00469	Tbio
PLXNA4	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.309	na||STRING DB score	na||na	na||na	na||source:ppi	Q9HCM2	Tbio
PLXNC1	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.319	na||STRING DB score	na||na	na||na	na||source:ppi	O60486	Tbio
PMPCA	hpi_krogan||hostprot_taiml||ppi_string	True||False||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Preprint/Nature, experimental data||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.183	na||na||STRING DB score	na||na||na	na||na||na	source:hpi||na||source:ppi	Q10713	Tbio
PMPCB	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.177	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	O75439	Tbio
POFUT1	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.307	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9H488	Tbio
POGLUT2	hpi_krogan	True	SARS-CoV-2 - Human Interactome, Krogan et al.	Preprint/Nature, experimental data	False	True	na	na	na	na	source:hpi	Q6UW63	Tdark
POGLUT3	hpi_krogan	True	SARS-CoV-2 - Human Interactome, Krogan et al.	Preprint/Nature, experimental data	False	True	na	na	na	na	source:hpi	Q7Z4H8	Tdark
POLA	dti_jm_nhc	False	Prediction by Jordi Mestres, PhD (JM)	File shared by JM	False	True	na	na	na	na	source:dti	na	unk
POLA1	hpi_krogan||hostprot_taiml||ppi_string	True||False||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Preprint/Nature, experimental data||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.21600000000000005	na||na||STRING DB score	na||na||na	na||na||na	source:hpi||na||source:ppi	P09884	Tclin
POLA2	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.174	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q14181	Tbio
POLR2A	ppi_string	True	STRING	STRING API	False	False	0.215	STRING DB score	na	na	source:ppi	P24928	Tbio
POP5	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.238	na||STRING DB score	na||na	na||na	notes:;role:sensitization_anti-viral||source:ppi	Q969H6	Tbio
POR	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.23	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	P16435	Tbio
PPARG	ppi_sg	True	SmartGraph	SmartGraph analysis max. dist=3, min. conf=0	False	False	0.1	confidence	na	na	source:ppi	P37231	Tclin
PPIC	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.364	na||STRING DB score	up||na	quantity change||na	na||source:ppi	P45877	Tbio
PPIL3	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.161	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9H2H8	Tbio
PPP1R3F	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.173	na||STRING DB score	na||na	na||na	na||source:ppi	Q6ZSY5	Tbio
PPT1	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.63	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	P50897	Tbio
PRIM1	hpi_krogan||hostprot_taiml||ppi_string	True||False||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Preprint/Nature, experimental data||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.158	na||na||STRING DB score	na||na||na	na||na||na	source:hpi||na||source:ppi	P49642	Tbio
PRIM2	hpi_krogan||hostprot_taiml||ppi_string	True||False||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Preprint/Nature, experimental data||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.28	na||na||STRING DB score	na||na||na	na||na||na	source:hpi||na||source:ppi	P49643	Tbio
PRKACA	hpi_krogan||ppi_sg||ppi_string	True||True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||SmartGraph||STRING	Preprint/Nature, experimental data||SmartGraph analysis max. dist=3, min. conf=0||STRING API	False||False||False	True||False||False	na||0.14||0.312	na||confidence||STRING DB score	na||na||na	na||na||na	source:hpi||source:ppi||source:ppi	P17612	Tchem
PRKAR1A	dti_jm_nhc||ppi_string	False||True	Prediction by Jordi Mestres, PhD (JM)||STRING	File shared by JM||STRING API	False||False	True||False	na||0.21600000000000005	na||STRING DB score	na||na	na||na	source:dti||source:ppi	P10644	Tbio
PRKAR2A	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.468	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	P13861	Tbio
PRKAR2B	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.219	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	P31323	Tbio
PRKCD	ppi_sg	True	SmartGraph	SmartGraph analysis max. dist=3, min. conf=0	False	False	0.22	confidence	na	na	source:ppi	Q05655	Tclin
PRKD1	ppi_sg	True	SmartGraph	SmartGraph analysis max. dist=3, min. conf=0	False	False	0.07	confidence	na	na	source:ppi	Q15139	Tchem
PRNP	dti_jm_hcq	False	Prediction by Jordi Mestres, PhD (JM)	File shared by JM	False	True	na	na	na	na	source:dti	P04156	Tchem
PRRC2B	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.208	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q5JSZ5	Tdark
PRSS1	dti_jm_cam	False	Prediction by Jordi Mestres, PhD (JM)	File shared by JM	False	True	na	na	na	na	source:dti	P07477	Tclin
PSAP	hostprot_nat	True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx	Shared by TIO	False	True	na	na	down	quantity change	na	P07602	Tbio
PSMD3	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.231	na||STRING DB score	na||na	na||na	na||source:ppi	O43242	Tbio
PSMD8	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.245	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	P48556	Tbio
PSME3	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.541	na||STRING DB score	na||na	na||na	notes:;role:sensitization_anti-viral||source:ppi	P61289	Tbio
PTBP2	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.45	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9UKA9	Tbio
PTGES2	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.285	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9H7Z7	Tchem
PTPN1	ppi_sg	True	SmartGraph	SmartGraph analysis max. dist=3, min. conf=0	False	False	0.18	confidence	na	na	source:ppi	P18031	Tchem
PTPRU	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.195	na||STRING DB score	na||na	na||na	na||source:ppi	Q92729	Tbio
PUSL1	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.218	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q8N0Z8	Tdark
PVR	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.267	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	P15151	Tbio
QSOX2	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.166	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q6ZRP7	Tbio
RAB10	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.386	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	P61026	Tbio
RAB14	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.154	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	P61106	Tbio
RAB18	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.228	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9NP72	Tbio
RAB1A	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.262	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	P62820	Tbio
RAB2A	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.398	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	P61019	Tbio
RAB43	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.187	na||STRING DB score	na||na	na||na	na||source:ppi	Q86YS6	Tbio
RAB5C	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.197	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	P51148	Tbio
